Invoice ID,Customer ID,Customer Name,Branch,City,State,Customer Type,Gender,Brand,Product,Product Line,Unit Price,Quantity,Discount %,Discount Amount,Tax,Total,Date,Time,Payment,COGS,Gross Margin %,Gross Income,Rating,Salesperson,Stock Available
INV00002023,CUST1776,Akash Roy,Kolkata Central,Kolkata,West Bengal,Member,Male,Nestlé,Maggi Noodles,Instant Food,926.21,2,10,185.24,83.36,1750.54,2022-03-20,10:21,Wallet,1852.42,4.7619,83.36,4.2,Ishita Mukherjee,436
INV00002024,CUST1143,Neha Verma,Delhi NCR,New Delhi,Delhi,Member,Male,HUL,Red Label Tea,Beverages,209.08,4,15,125.45,35.54,746.41,2024-02-13,18:09,Cash,836.32,4.7619,35.54,8.5,Aarav Roy,463
INV00002025,CUST1624,Rohan Singh,Kolkata Central,Kolkata,West Bengal,Wholesale,Female,Unilever,Dove Soap,Personal Care,694.49,7,10,486.14,218.76,4594.05,2022-03-17,08:25,Wallet,4861.43,4.7619,218.76,6.6,Akash Mukherjee,420
INV00002026,CUST2321,Aditya Ghosh,Bengaluru,Bengaluru,Karnataka,Regular,Male,Cadbury,Dairy Milk,Confectionery,631.92,8,15,758.3,214.85,4511.91,2022-03-07,13:21,Wallet,5055.36,4.7619,214.85,5.9,Saanvi Nair,336
INV00002027,CUST2286,Rahul Singh,Bengaluru,Bengaluru,Karnataka,Wholesale,Male,Adani Wilmar,Fortune Sunflower Oil,Grocery,474.37,8,10,379.5,170.77,3586.23,2022-06-30,18:18,Debit Card,3794.96,4.7619,170.77,3.6,Rahul Sharma,207
INV00002028,CUST1775,Aarav Patel,Mumbai,Mumbai,Maharashtra,Member,Male,Coca-Cola,Coca-Cola,Beverages,1177.1,8,5,470.84,447.3,9393.26,2024-06-29,12:51,Credit Card,9416.8,4.7619,447.3,9.9,Neha Sharma,233
INV00002029,CUST2448,Pooja Sharma,Pune,Pune,Maharashtra,Wholesale,Female,HUL,Surf Excel,Home Care,15.42,7,20,21.59,4.32,90.67,2023-12-29,09:34,Debit Card,107.94,4.7619,4.32,3.9,Aditya Verma,407
INV00002030,CUST1848,Saanvi Pramanik,Kolkata Central,Kolkata,West Bengal,Wholesale,Male,Unilever,Lux Soap,Personal Care,1147.58,5,0,0.0,286.89,6024.79,2023-11-17,13:42,Cash,5737.9,4.7619,286.89,8.4,Rahul Sharma,32
INV00002031,CUST2343,Sneha Roy,Howrah,Howrah,West Bengal,Wholesale,Female,India Gate,Basmati Rice,Grocery,913.3,1,15,137.0,38.81,815.11,2022-10-27,16:07,Cash,913.3,4.7619,38.81,7.0,Riya Jain,64
INV00002032,CUST1715,Neha Das,Ahmedabad,Ahmedabad,Gujarat,Member,Male,Unilever,Clinic Plus Shampoo,Personal Care,88.54,7,5,30.99,29.44,618.23,2022-02-12,16:20,Wallet,619.78,4.7619,29.44,6.5,Neha Gupta,219
INV00002033,CUST1460,Aditya Das,Hyderabad,Hyderabad,Telangana,Wholesale,Male,Coca-Cola,Coca-Cola,Beverages,422.13,3,0,0.0,63.32,1329.71,2024-01-26,11:56,Credit Card,1266.39,4.7619,63.32,7.0,Meera Roy,476
INV00002034,CUST1408,Priya Yadav,Pune,Pune,Maharashtra,Member,Female,Unilever,Clinic Plus Shampoo,Personal Care,1126.84,1,0,0.0,56.34,1183.18,2024-10-31,09:21,Wallet,1126.84,4.7619,56.34,9.7,Aarav Singh,118
INV00002035,CUST1057,Meera Gupta,Hyderabad,Hyderabad,Telangana,Regular,Female,Amul,Amul Milk,Dairy,946.5,3,15,425.93,120.68,2534.25,2024-03-26,22:14,Wallet,2839.5,4.7619,120.68,6.7,Priya Nair,248
INV00002036,CUST1703,Vivaan Roy,Salt Lake,Kolkata,West Bengal,Regular,Female,PepsiCo,Lay's Chips,Snacks,1079.45,1,20,215.89,43.18,906.74,2024-10-09,18:54,Debit Card,1079.45,4.7619,43.18,7.5,Meera Verma,441
INV00002037,CUST1370,Vivaan Gupta,Delhi NCR,New Delhi,Delhi,Regular,Female,Colgate,Colgate Toothpaste,Personal Care,927.79,4,10,371.12,167.0,3507.04,2023-01-30,21:59,Cash,3711.16,4.7619,167.0,8.8,Sneha Jain,212
INV00002038,CUST2029,Vivaan Pramanik,Hyderabad,Hyderabad,Telangana,Wholesale,Female,Unilever,Clinic Plus Shampoo,Personal Care,96.95,6,10,58.17,26.18,549.71,2023-06-28,12:06,Debit Card,581.7,4.7619,26.18,4.3,Aditi Roy,26
INV00002039,CUST2152,Diya Nair,Ahmedabad,Ahmedabad,Gujarat,Wholesale,Female,Cadbury,Bournvita,Health,302.57,6,15,272.31,77.16,1620.27,2024-06-18,13:03,Cash,1815.42,4.7619,77.16,5.2,Meera Roy,233
INV00002040,CUST1963,Akash Gupta,Howrah,Howrah,West Bengal,Member,Male,ITC,Aashirvaad Atta,Grocery,797.34,7,5,279.07,265.12,5567.43,2022-03-29,15:32,Wallet,5581.38,4.7619,265.12,6.6,Ishita Patel,189
INV00002041,CUST1518,Pooja Roy,Pune,Pune,Maharashtra,Member,Male,HUL,Red Label Tea,Beverages,394.94,1,15,59.24,16.79,352.49,2022-05-09,15:43,Cash,394.94,4.7619,16.79,5.0,Riya Patel,217
INV00002042,CUST2023,Riya Mukherjee,Mumbai,Mumbai,Maharashtra,Member,Female,Tata,Tata Salt,Grocery,636.86,5,20,636.86,127.37,2674.81,2023-09-13,17:34,Wallet,3184.3,4.7619,127.37,9.0,Neha Singh,47
INV00002043,CUST1227,Pooja Jain,Pune,Pune,Maharashtra,Regular,Female,Parle,Parle-G,Snacks,768.05,2,15,230.41,65.28,1370.97,2024-07-07,10:31,Cash,1536.1,4.7619,65.28,6.1,Vivaan Yadav,334
INV00002044,CUST1826,Pooja Reddy,Mumbai,Mumbai,Maharashtra,Wholesale,Male,Parle,Parle-G,Snacks,1167.29,4,5,233.46,221.78,4657.48,2022-05-31,08:59,Cash,4669.16,4.7619,221.78,9.4,Aarav Sharma,164
INV00002045,CUST1434,Rahul Jain,Bengaluru,Bengaluru,Karnataka,Regular,Male,HUL,Red Label Tea,Beverages,1113.69,5,10,556.85,250.58,5262.18,2023-10-28,14:14,Wallet,5568.45,4.7619,250.58,4.2,Karan Sharma,78
INV00002046,CUST1285,Arjun Patel,Bengaluru,Bengaluru,Karnataka,Regular,Female,Unilever,Clinic Plus Shampoo,Personal Care,477.25,4,15,286.35,81.13,1703.78,2023-08-11,16:39,UPI,1909.0,4.7619,81.13,9.1,Rohan Nair,62
